en,es
I know which of the two girls you like better.,Yo sé cuál de estas dos chicas te gusta más.
Where did he go yesterday?,¿Adónde se fue ayer?
His words set everybody roaring with laughter.,Sus palabras hicieron que todo el mundo se partiese de risa.
Jane took her dog for a walk.,Jane sacó a pasear a su perro.
Forget all grudges and begin living freely.,Olvide todos los rencores y comience a vivir libre de ataduras.
We can but wait for the results.,Solo nos queda esperar por el resultado.
I'm too scared to do it by myself.,Tengo miedo de hacerlo yo solo.
He did the work without any difficulty.,Realizó el trabajo sin ninguna dificultad.
I've been to Australia three times.,He viajado tres veces a Australia.
Why are you alone?,¿Por qué estás sola?
I have nothing to do with this accident.,Yo no tengo nada que ver con este accidente.
Does it hurt?,¿Duele?
These people were very lucky.,Estas personas fueron muy afortunadas.
The snow was making it hard to see.,La nieve dificultaba la visión.
You have lovely breasts.,Tienes unas tetas adorables.
His aim is to become a lawyer.,Su meta es ser abogado.
Tom could hear his name being called.,Tom pudo oír que llamaban su nombre.
Which browser are you using?,¿Qué navegador estás ocupando?
It's a shame I missed the opportunity to meet her.,Lástima que perdí la oportunidad de conocerla.
I wish I didn't have to work.,Ojalá no tuviera que trabajar.
This sentence is correct.,Esta oración es correcta.
It was too good!,¡Fue demasiado bueno!
The submarine had to break through a thin sheet of ice to surface.,El submarino tuvo que atravesar una delgada capa de hielo para emerger.
Let's go inside.,Vamos adentro.
Matters are getting worse and worse.,Las cosas van de mal en peor.
Tom just found out today that he is HIV positive.,Tom hoy acaba de enterarse que es HIV positivo.
Are these your skis?,¿Estos son tus esquíes?
Is there a flower shop in the hotel?,¿Hay florería en el hotel?
Leave the books as they are.,Deja los libros tal como están.
They're waiting for me to come up with ideas.,Están esperando a que yo aporte ideas.
Flower arrangement is a part of Japanese culture.,El arreglo floral es parte de la cultura japonesa.
Tom is a priest.,Tom es cura.
I want to try something else.,Quiero intentar otra cosa.
Tom is the captain of our team.,Tom es el capitán de nuestro equipo.
The building has twenty floors.,El edificio tiene veinte pisos.
He has the habit of spitting on the ground.,Él tiene el hábito de escupir al piso.
A blow with a word strikes deeper than a blow with a sword.,Una palabra hiere más profundamente que una espada.
Have you eaten?,¿Ya comiste?
I'm not that fast.,No soy tan rápido.
Never confuse pity with love.,Nunca confundas lástima con amor.
"Today, I do not want to go to school.",Hoy no quiero ir al colegio.
I like your apartment a lot.,Me gusta mucho tu apartamento.
Mary followed her friend to the hotel because she did not know the area.,Mary siguió a su amigo hasta el hotel ya que ella no conocía bien el área.
The bicycle is in the street.,La bicicleta está en la calle.
Do you understand?,¿Entiendes?
This is an immutable truth.,Esta es una verdad inmutable.
"I wonder if my mother is hiding something from me. She called me a ""son of a bitch"" today.","Me pregunto si mi madre me está ocultando algo: Me llamó ""hijo de puta"" hoy."
She often goes to the movies with him.,Ella va al cine con él a menudo.
I'm not the same person I was when you first met me.,No soy el hombre que era cuando me conociste por primera vez.
I usually gas up the car at this service station.,Yo normalmente lleno el coche en esta estación de servicio.
I didn't know about it until I read the paper.,No lo sabía hasta que leí el periódico.
Have some bread.,"Tomen, les doy pan."
Will it rain this afternoon?,¿Va a llover esta tarde?
Can you tell me why they are so glad?,¿Me puedes decir por qué están tan contentos?
You were always there and I never knew.,Siempre estuviste ahí y nunca lo supe.
How many words should you write?,¿Cuántas palabras deberías escribir?
Do you love me?,¿Me quieres?
I hope there's nothing wrong with posting memes in the chat.,Espero que no haya nada malo en poner memes en el chat.
That's interesting.,Eso es interesante.
Tom assured me that he would be here in time for the opening speech.,Tom me aseguró que estaría aquí a tiempo para el discurso inaugural.
Hunting is not allowed in national parks.,Está prohibido cazar en parques nacionales.
"There weren't any trains, so we had to walk the whole time.","No había trenes, así que tuvimos que caminar todo el rato."
"A little more effort, and you will succeed.","Si te esfuerzas un poco más, seguro que tendrás éxito."
The voice of destiny speaks through the inclinations of one's heart.,La voz del destino habla a través de las inclinaciones del corazón.
The top U.S. export to China was soybeans.,La principal exportación de los Estados Unidos a China fue soya.
Where do you wish to go?,¿Adónde quieren ir?
That amuses me very much.,Me divierte muchísimo.
Tom is an eye doctor.,Tom es oculista.
She was in a hurry.,Ella estaba apresurada.
I'm not in a position to give you any advice.,No estoy en grado de darte consejos.
Okay.,Sale.
There's nothing more important than friends.,No hay nada más importante que los amigos.
"A teaspoon, please.","Por favor, una cucharilla."
"Without air conditioning, it's impossible to travel by car in the middle of August.","Sin aire acondicionado, no se puede ir en coche en pleno agosto."
He cannot speak either German or French.,Él no habla ni alemán ni francés.
"I know you're busy, too.",Sé que ustedes también están ocupados.
I'd bought it the week before.,Lo había comprado la semana anterior.
You had better not see her today.,Mejor que no la hubieras visto hoy.
My daughter was premature.,Mi hija nació prematuramente.
A student should not lose sight of his own identity.,Un estudiante no debería perder de vista su propia identidad.
"It was not by plane, but by ship, that I went to London.",No fui a Londres en avión sino en barco.
Tom told Mary to go home.,Tom le dijo a Mary que se vaya a casa.
Don't worry about your dog. I'll take care of him.,No te preocupes por tu perro. Yo cuidaré de él.
I love Turkish.,Me encanta el turco.
Tatoeba isn't a dictionary.,Tatoeba no es un diccionario.
Tell Tom I don't know Mary.,Decile a Tomás que yo no conozco a María.
My family is small.,Mi familia es pequeña.
Many wives complain about their husbands.,Muchas mujeres se quejan de sus maridos.
I want Tom to have a decent life.,Quiero que Tom tenga una vida decente.
They are not coming even if they can.,No vienen aunque puedan.
I need to shit.,Tengo que cagar.
I love him more than anything.,Le quiero más que a nada.
Do you know that boy standing over there?,¿Conoces al chico que está allí parado?
We met at summer camp.,Nos conocimos en un campamento de verano.
What if I'm right?,¿Y si llevo razón?
We could see nothing but fog.,No pudimos ver nada más que niebla.
Have you seen the remote?,¿Has visto el control remoto?
You shouldn't make it so complicated.,No deberías complicarlo tanto.
You really think I can fly?,¿Tú te crees que puedo volar?
"It's not a phase, Mom.","No es una fase, mamá."
Tom heard that Mary and John had split up.,Tom oyó que Mary y John habían terminado.
"I wanted to ride my bike, but I'm out of practice.","Quería andar en bicicleta, pero perdí la práctica."
Rest in peace.,Que en paz descanse.
Don't play with the mud. You're getting dirty.,No jugués con el lodo. Te estás ensuciando.
She can't understand other people.,Ella no puede comprender a otras personas.
Marika doesn't believe me anymore.,Marika ya no me cree.
It's rather amusing.,Es más bien divertido.
Tom is probably not going to want to do that.,Tal vez Tom no vaya a querer hacer eso.
"Upon explaining plosives to his class, the linguistics teacher instantly became covered in spit.","Al explicar las oclusivas a la clase, el profesor de lingüística acabó cubierto de saliva en un instante."
I wanted us to be happy.,Quería que fuéramos felices.
This is a superb illustration of how Emmet modified the traditional architectural designs.,Ésta es una magnífica ilustración de cómo Emmet modificó los diseños arquitectónicos tradicionales.
The whole family frowned on the match.,Toda la familia desaprobaba el matrimonio.
This is Tom speaking. Is Mary in?,Soy Tom. ¿Está Mary ahí?
That shows how little we know of ourselves.,Eso muestra lo poco que sabemos sobre nosotros mismos.
What have you bought your girlfriend for Christmas?,¿Qué le has comprado a tu novia por Navidad?
He is not an American.,Él no es americano.
This letter is to the old woman.,Esta carta es para la mujer vieja.
I saw him tear up the letter.,Yo lo vi destrozando la carta.
The middle one is mine.,La del medio es la mía.
Pat is very talkative.,Pat es muy parlanchina.
"Why is it that, as soon as someone says the word love, lust metamorphoses into passion?","¿Por qué será que en cuanto alguien dice la palabra amor, el deseo se convierte en pasión?"
Tom asked Mary why she was crying.,Tom le preguntó a Mary por qué lloraba.
I'm the only one who survived.,Soy el único que sobrevivió.
"I can't seem to find your last e-mail, I wonder if you can resend it to me.","No logro encontrar tu último correo, ¿crees que me lo puedas reenviar?"
Men and women between the ages of 25 and 54 have the most stressful lives.,Hombres y mujeres entre las edades de 25 y 54 tienen las vidas más estresantes.
I don't like your attitude.,No me gusta tu actitud.
Surely he'll phone me tonight.,Seguramente él me llamará por teléfono esta noche.
Was it so large as that?,¿De verdad era tan largo como eso?
Shall we meet at the library?,¿Nos vemos en la biblioteca?
His words offended me.,Sus palabras me ofendieron.
"Wherever he may go, he is sure to make friends.","Adondequiera que vaya, con seguridad hará amigos."
The cause of the accident is still under investigation.,La causa del accidente sigue bajo investigación.
I require your assistance.,Necesito tu ayuda.
The witness stated his name.,El testigo indicó su nombre.
I just want to be by your side.,Sólo quiero estar a tu lado.
It's hard to learn when you don't learn.,Es difícil aprender cuando no aprendes.
I think that she's trying to make you jealous.,Creo que está intentando ponerte celosa.
